SourceA	SourceB	Pre	Post
MolePro	HGNC	390	17175
DrugMechDB	GtoPdb	0	1041
Biolink	PHAROS	16724	17712
Reactome	LINCS	1	523
Ubergraph	GtoPdb	54	2086
MONDOProps	Ubergraph	23047	22536
CTD	HumanGOA	0	0
YeastHistoneMapping	KinAce	0	0
UbergraphRedundant	GenomeAllianceOrthologs	4507	4491
OHD-Carolina	IntAct	3	3
MetabolomicsWorkbench	SGD	0	0
UbergraphRedundant	DrugCentral	0	9345
UbergraphNonredundant	GWASCatalog	644	1480
Biolink	LitCoin_without_umls_with_autocomplete	245	377
HMDB	CHEBIProps	0	2741
Ubergraph	SGD	5155	10629
PHAROS	GtoPdb	4917	7704
Biolink	GenomeAllianceOrthologs	71721	85152
MONDOProps	YeastGSE61888	0	0
LitCoinBagelService	YeastGSE61888	0	0
STRING-DB-Yeast	UbergraphRedundant	0	0
UbergraphRedundant	LINCS	1415	5174
YeastHistoneMapping	IntAct	0	0
HGNC	IntAct	0	0
Biolink	YeastHistoneMapping	5309	2082
CAM-KP	COHD	34	25
LitCoinSapBERT	LINCS	2	109
OntologicalHierarchy	STRING-DB-Human	0	17654
CCIDB	textminingkp	329	4
MONDOProps	GtoPdb	0	0
LINCS	HumanGOA	0	0
LitCoin_without_umls_with_autocomplete	LINCS	36	13
LitCoin_without_umls	KinAce	1	8
OHD-Carolina	SIGNOR	0	25
UbergraphNonredundant	OHD-Carolina	5266	5853
CTD	LitCoin_without_umls	10	128
HumanGOA	GTEx	0	0
PANTHER	GtoPdb	254	2083
MONDOProps	PANTHER	0	0
UbergraphNonredundant	MonarchKG	59152	64125
YeastHistoneMapping	LINCS	0	0
SGD	GtoPdb	0	0
Biolink	GTEx	54	18425
DrugMechDB	GTEx	0	526
BINDING-DB	HumanGOA	3144	3136
LitCoinSapBERT	YeastHistoneMapping	0	2
GenomeAllianceOrthologs	SIGNOR	0	6063
old_Ubergraph	SIGNOR	68	
LitCoinBagelService	LINCS	0	194
CCIDB	STRING-DB-Human	0	1
MolePro	CHEBIProps	21887	21671
COHD	CHEBIProps	43	25
GenomeAllianceOrthologs	PHAROS	13750	10302
CCIDB	MetabolomicsWorkbench	0	9
OntologicalHierarchy	YeastGaschDiamideGeneExpression	0	1
DrugCentral	GtoPdb	0	1150
BINDING-DB	PHAROS	0	227720
PANTHER	GWASCatalog	14	14
STRING-DB-Yeast	Cord19	0	0
LINCS	COHD	0	16
STRING-DB-Yeast	Costanza2016Data	0	0
LitCoin_without_umls	YeastGSE61888	0	0
MONDOProps	KinAce	0	0
PFOCR	CAM-KP	16493	15656
textminingkp	Costanza2016Data	0	0
old_Ubergraph	OHD-Carolina	5258	
MONDOProps	CAM-KP	0	3
YeastGaschDiamideGeneExpression	Cord19	0	0
PHAROS	MetabolomicsWorkbench	971	1042
LitCoinBagelService	IntAct	3	3
CCIDB	GenomeAllianceOrthologs	2	328
LitCoin_without_umls	LINCS	36	11
CTD	HMDB	1	1782
Ubergraph	old_Ubergraph	3425756	
OHD-Carolina	HumanGOA	0	0
CCIDB	LitCoin	23	61
OHD-Carolina	DrugMechDB	83	1377
HGNC	YeastGSE61888	0	0
LitCoinBagelService	KinAce	0	114
OntologicalHierarchy	LitCoinSapBERT_without_umls	682	687
COHD	SIGNOR	0	0
CAM-KP	PHAROS	3	13580
Ubergraph	STRING-DB	0	9876
Ubergraph	SIGNOR	68	6245
MolePro	MonarchKG	7527	30870
Biolink	BINDING-DB	0	195
CTD	textminingkp	0	6060
PANTHER	MetabolomicsWorkbench	1053	1052
UbergraphRedundant	IntAct	1685	52348
YeastGaschDiamideGeneExpression	UbergraphNonredundant	0	5433
OntologicalHierarchy	GTEx	34129	0
DrugMechDB	STRING-DB	0	2
YeastHistoneMapping	DrugMechDB	0	0
old_Ubergraph	GTEx	0	
CCIDB	LitCoinSapBERT_without_umls	14	14
MONDOProps	STRING-DB-Human	0	0
STRING-DB-Yeast	LitCoin_without_umls	0	0
OntologicalHierarchy	GtoPdb	1901	2393
OntologicalHierarchy	IntAct	1685	52348
LitCoin_without_umls	STRING-DB-Human	0	0
OHD-Carolina	MonarchKG	1358	2103
UbergraphNonredundant	LitCoin_without_umls	479	526
CTD	Reactome	0	1217
PANTHER	Costanza2016Data	0	0
Reactome	CAM-KP	5277	6903
STRING-DB-Human	STRING-DB	17400	17116
YeastGSE61888	Cord19	0	0
MONDOProps	SIGNOR	0	0
LitCoinSapBERT	UbergraphRedundant	1010	1310
UbergraphRedundant	MetabolomicsWorkbench	512	1263
SGD	LitCoin	19	18
LitCoin_without_umls	CCIDB	7	9
textminingkp	GtoPdb	0	2012
UbergraphNonredundant	LitCoinSapBERT_without_umls	679	792
CTD	UbergraphRedundant	0	12671
LitCoinSapBERT	Ubergraph	1127	1449
CAM-KP	UbergraphRedundant	30857	42147
MONDOProps	MonarchKG	11112	12236
CAM-KP	DrugCentral	1193	3116
YeastGSE61888	OHD-Carolina	0	0
old_Ubergraph	KinAce	0	
BINDING-DB	MonarchKG	0	0
MetabolomicsWorkbench	KinAce	0	190
Biolink	LitCoinSapBERT_without_umls	201	295
CAM-KP	MetabolomicsWorkbench	0	1519
Costanza2016Data	LitCoinSapBERT_without_umls	0	0
Reactome	PANTHER	432	1248
CTD	STRING-DB	0	0
BINDING-DB	LitCoin	54	185
CAM-KP	HumanGOA	20172	20126
Costanza2016Data	IntAct	0	0
CCIDB	LitCoinBagelService	16	51
Reactome	YeastHistoneMapping	0	1
Reactome	STRING-DB	0	1231
OHD-Carolina	KinAce	0	0
MolePro	textminingkp	22409	10746
STRING-DB-Yeast	YeastHistoneMapping	0	0
LitCoinSapBERT_without_umls	SGD	10	10
KinAce	STRING-DB	0	14
UbergraphRedundant	GtoPdb	1901	3160
PFOCR	STRING-DB	0	0
LitCoinBagelService	GTEx	0	243
PFOCR	SGD	0	0
Reactome	PHAROS	307	1209
Biolink	MonarchKG	205384	75619
UbergraphNonredundant	LitCoin	1061	1554
HGNC	CHEBIProps	0	0
UbergraphRedundant	old_Ubergraph	3337595	
UbergraphNonredundant	MONDOProps	26248	26136
LitCoinSapBERT	GtoPdb	0	136
HGNC	STRING-DB-Human	0	0
BINDING-DB	GWASCatalog	0	0
CTD	LitCoinSapBERT_without_umls	35	179
LitCoin_without_umls_with_autocomplete	PANTHER	18	53
MONDOProps	GTEx	0	0
STRING-DB-Yeast	PHAROS	0	0
LINCS	MetabolomicsWorkbench	1118	504
KinAce	GWASCatalog	0	0
GenomeAllianceOrthologs	STRING-DB-Human	0	0
UbergraphRedundant	Cord19	19073	22659
OntologicalHierarchy	DrugMechDB	1511	3591
PFOCR	Costanza2016Data	0	0
GTEx	STRING-DB	0	0
LitCoinBagelService	Costanza2016Data	0	3
LitCoin_without_umls	CAM-KP	97	123
GenomeAllianceOrthologs	Costanza2016Data	3231	3167
HMDB	LitCoin_without_umls_with_autocomplete	4	7
YeastGSE61888	COHD	0	0
Biolink	Cord19	17198	21231
LINCS	STRING-DB	0	0
UbergraphNonredundant	Ubergraph	3410373	2877831
CTD	CCIDB	0	291
SGD	GWASCatalog	2	2
YeastGSE61888	HumanGOA	0	0
YeastGaschDiamideGeneExpression	MonarchKG	5006	5006
CCIDB	CAM-KP	284	356
CTD	HGNC	0	7446
YeastGaschDiamideGeneExpression	BINDING-DB	0	0
YeastGSE61888	CHEBIProps	0	0
MolePro	HumanGOA	32131	13120
LitCoinBagelService	COHD	3	2
HGNC	KinAce	0	2529
textminingkp	SIGNOR	5899	156
BINDING-DB	MetabolomicsWorkbench	1833	273
CCIDB	UbergraphRedundant	36	178
LitCoin_without_umls	old_Ubergraph	499	
MolePro	DrugMechDB	1902	3705
BINDING-DB	CAM-KP	2123	6935
OntologicalHierarchy	MonarchKG	61252	24700
LitCoinSapBERT	CTD	36	467
BINDING-DB	KinAce	1250	15
Biolink	textminingkp	2632	4212
OntologicalHierarchy	LitCoin_without_umls	481	481
SIGNOR	Cord19	82	5374
YeastGaschDiamideGeneExpression	HGNC	0	0
YeastGaschDiamideGeneExpression	Hetio	0	0
CCIDB	old_Ubergraph	36	
CTD	LitCoin_without_umls_with_autocomplete	12	184
PHAROS	Cord19	14641	11801
LINCS	Cord19	3782	3796
MolePro	Hetio	34161	36869
STRING-DB-Yeast	COHD	0	0
YeastGaschDiamideGeneExpression	LitCoin_without_umls	0	0
Reactome	Costanza2016Data	0	0
YeastHistoneMapping	PANTHER	1	1
COHD	STRING-DB	0	0
PHAROS	STRING-DB-Human	0	0
LitCoin_without_umls_with_autocomplete	IntAct	17	4
PFOCR	textminingkp	0	1085
DrugMechDB	MetabolomicsWorkbench	1	179
UbergraphRedundant	STRING-DB	0	17534
HGNC	GTEx	0	17319
HMDB	UbergraphRedundant	0	14217
Costanza2016Data	Hetio	0	0
CCIDB	GWASCatalog	0	0
OntologicalHierarchy	YeastGSE61888	0	1
SGD	HumanGOA	3713	3698
HGNC	LINCS	3523	3507
Ubergraph	LINCS	1098	4371
LitCoin_without_umls_with_autocomplete	old_Ubergraph	866	
OntologicalHierarchy	GenomeAllianceOrthologs	4507	0
UbergraphNonredundant	KinAce	0	3121
PANTHER	LitCoin	59	412
UbergraphNonredundant	HumanGOA	18968	19861
Ubergraph	CHEBIProps	24478	2162
YeastHistoneMapping	STRING-DB-Human	0	0
STRING-DB-Yeast	HMDB	0	0
CTD	STRING-DB-Human	0	0
OntologicalHierarchy	PANTHER	7673	3120
HGNC	textminingkp	0	0
KinAce	Cord19	9	2726
HMDB	Hetio	0	1141
SIGNOR	Hetio	60	6141
Hetio	STRING-DB	0	0
UbergraphRedundant	CHEBIProps	25238	24629
LitCoinSapBERT_without_umls	MetabolomicsWorkbench	2	4
Reactome	Cord19	672	1647
HGNC	old_Ubergraph	2797	
HMDB	DrugCentral	1449	2692
Biolink	LitCoin_without_umls	176	267
CTD	Cord19	2832	10063
MolePro	COHD	48	26
PHAROS	Costanza2016Data	0	0
SIGNOR	SGD	22	21
SGD	STRING-DB	0	0
MolePro	LitCoin_without_umls_with_autocomplete	435	364
YeastGaschDiamideGeneExpression	LitCoinBagelService	0	3
YeastGaschDiamideGeneExpression	MONDOProps	0	0
COHD	DrugMechDB	1	23
KinAce	SGD	0	0
LitCoinSapBERT	OHD-Carolina	255	322
PFOCR	MonarchKG	0	15616
PFOCR	OHD-Carolina	4	718
LitCoin_without_umls_with_autocomplete	GWASCatalog	88	130
Biolink	UbergraphNonredundant	28683	72345
STRING-DB-Yeast	DrugMechDB	0	0
Reactome	CHEBIProps	637	961
CTD	MonarchKG	0	11178
HGNC	UbergraphRedundant	3717	3699
PFOCR	CCIDB	0	324
YeastGaschDiamideGeneExpression	MetabolomicsWorkbench	0	0
PFOCR	old_Ubergraph	15083	
CAM-KP	OHD-Carolina	646	874
BINDING-DB	CCIDB	184	2
SIGNOR	HumanGOA	6236	143
BINDING-DB	GenomeAllianceOrthologs	0	0
YeastGSE61888	STRING-DB	0	0
Biolink	OHD-Carolina	1233	2360
UbergraphRedundant	Hetio	16056	23546
PHAROS	GTEx	0	10087
SIGNOR	CHEBIProps	0	38
HMDB	COHD	0	18
LINCS	IntAct	0	0
MONDOProps	LitCoinSapBERT_without_umls	107	107
YeastGSE61888	textminingkp	0	0
MolePro	Reactome	8579	5198
Ubergraph	Hetio	34079	35891
HGNC	LitCoin_without_umls_with_autocomplete	1	34
YeastGaschDiamideGeneExpression	IntAct	0	0
Biolink	LitCoin	622	814
Biolink	CHEBIProps	24	17
CCIDB	SIGNOR	276	275
LitCoin_without_umls_with_autocomplete	Hetio	90	241
YeastHistoneMapping	GTEx	0	0
HMDB	STRING-DB	0	2171
CAM-KP	GTEx	718	20678
MONDOProps	LitCoin	334	341
GtoPdb	LitCoin	1	303
PFOCR	CHEBIProps	0	27
YeastGaschDiamideGeneExpression	GWASCatalog	0	0
STRING-DB-Yeast	Reactome	0	0
STRING-DB-Yeast	DrugCentral	0	0
Ubergraph	LitCoinSapBERT_without_umls	722	818
OHD-Carolina	PHAROS	120	2542
textminingkp	DrugCentral	1769	6848
UbergraphNonredundant	BINDING-DB	0	11327
OntologicalHierarchy	SIGNOR	68	253
BINDING-DB	YeastHistoneMapping	0	0
LitCoinSapBERT	HumanGOA	168	115
UbergraphNonredundant	PFOCR	0	15518
MonarchKG	SGD	6166	6145
STRING-DB-Yeast	textminingkp	0	0
YeastGaschDiamideGeneExpression	old_Ubergraph	0	
Hetio	GtoPdb	0	2749
CCIDB	DrugCentral	111	2
COHD	IntAct	0	0
STRING-DB-Yeast	SGD	0	0
UbergraphNonredundant	MolePro	184668	198648
GenomeAllianceOrthologs	OHD-Carolina	0	1
MonarchKG	DrugCentral	0	2064
MonarchKG	LitCoin	268	773
UbergraphNonredundant	Costanza2016Data	1	5181
PANTHER	OHD-Carolina	0	1
YeastGSE61888	Hetio	0	0
PANTHER	Ubergraph	6541	21320
UbergraphRedundant	textminingkp	12197	29308
HGNC	PFOCR	0	12358
YeastHistoneMapping	GtoPdb	0	0
YeastGSE61888	SGD	0	0
YeastGaschDiamideGeneExpression	CAM-KP	5395	5396
YeastHistoneMapping	GWASCatalog	0	0
PANTHER	LitCoinSapBERT_without_umls	20	74
old_Ubergraph	LitCoinSapBERT_without_umls	723	
OntologicalHierarchy	HumanGOA	18968	38109
HGNC	COHD	0	0
HumanGOA	GWASCatalog	33	33
OntologicalHierarchy	LitCoinSapBERT	1010	1217
UbergraphRedundant	SIGNOR	68	2475
PHAROS	DrugMechDB	141	2178
PANTHER	Cord19	14566	14514
Reactome	textminingkp	3436	3965
OHD-Carolina	LitCoinSapBERT_without_umls	107	105
MetabolomicsWorkbench	LitCoin	19	69
UbergraphRedundant	STRING-DB-Human	0	17654
LitCoin_without_umls	COHD	1	0
MonarchKG	GtoPdb	231	1997
YeastGaschDiamideGeneExpression	STRING-DB-Yeast	0	0
GenomeAllianceOrthologs	LINCS	4393	4378
DrugMechDB	HumanGOA	1206	684
Ubergraph	GTEx	0	17663
BINDING-DB	GTEx	0	0
LitCoinSapBERT	MetabolomicsWorkbench	4	26
OntologicalHierarchy	LitCoinBagelService	666	718
SIGNOR	STRING-DB	0	35
MONDOProps	DrugMechDB	0	691
YeastGaschDiamideGeneExpression	COHD	0	0
STRING-DB-Yeast	KinAce	0	0
STRING-DB-Yeast	CTD	0	0
HMDB	STRING-DB-Human	0	2167
Ubergraph	IntAct	1684	5358
PANTHER	DrugMechDB	256	789
PANTHER	GenomeAllianceOrthologs	18999	18921
LitCoinSapBERT	MolePro	865	929
Reactome	IntAct	7853	7365
HGNC	Hetio	0	14732
HGNC	GenomeAllianceOrthologs	15945	15750
YeastHistoneMapping	MetabolomicsWorkbench	0	0
old_Ubergraph	STRING-DB	0	
LINCS	Costanza2016Data	0	0
MONDOProps	PHAROS	0	8323
PFOCR	YeastGSE61888	0	0
CCIDB	YeastGSE61888	0	0
UbergraphNonredundant	UbergraphRedundant	3736799	3103625
CAM-KP	SGD	10816	10732
Hetio	LitCoin	475	869
MolePro	IntAct	26375	3256
GenomeAllianceOrthologs	KinAce	0	3083
LitCoinBagelService	textminingkp	331	391
Reactome	LitCoin	78	203
Biolink	STRING-DB-Yeast	0	0
Reactome	old_Ubergraph	2700	
BINDING-DB	PANTHER	0	0
IntAct	GtoPdb	0	0
BINDING-DB	old_Ubergraph	0	
COHD	DrugCentral	0	30
YeastGSE61888	PHAROS	0	0
LINCS	STRING-DB-Human	0	0
STRING-DB-Yeast	HumanGOA	0	0
PFOCR	GenomeAllianceOrthologs	0	14253
Reactome	HumanGOA	4474	4594
BINDING-DB	GtoPdb	0	4812
CAM-KP	MonarchKG	27600	46659
STRING-DB-Yeast	CHEBIProps	0	0
YeastGSE61888	SIGNOR	0	0
textminingkp	COHD	31	32
LitCoinSapBERT	SGD	19	21
UbergraphNonredundant	PANTHER	7589	21360
LitCoinSapBERT	STRING-DB	0	1
LitCoinSapBERT_without_umls	Hetio	76	225
CAM-KP	Costanza2016Data	4981	4981
MONDOProps	HumanGOA	0	0
Biolink	LitCoinBagelService	447	578
LitCoinSapBERT	MONDOProps	328	335
DrugCentral	IntAct	2298	2297
Reactome	LitCoinSapBERT_without_umls	28	35
textminingkp	OHD-Carolina	2735	3467
PFOCR	DrugCentral	0	740
SGD	STRING-DB-Human	0	0
PFOCR	Cord19	1160	15161
old_Ubergraph	MetabolomicsWorkbench	429	
BINDING-DB	STRING-DB-Human	0	1157
CTD	GWASCatalog	0	828
LitCoinBagelService	SGD	15	18
PANTHER	LINCS	4376	4363
MolePro	PHAROS	458	232625
YeastHistoneMapping	LitCoinBagelService	0	3
LitCoinBagelService	STRING-DB	0	0
CTD	COHD	0	28
KinAce	GtoPdb	0	788
CAM-KP	GtoPdb	125	3956
HMDB	GTEx	0	9
MONDOProps	GenomeAllianceOrthologs	0	0
Biolink	YeastGSE61888	0	0
DrugCentral	Cord19	9	2579
MONDOProps	LitCoinBagelService	233	233
BINDING-DB	Ubergraph	0	364
old_Ubergraph	Costanza2016Data	1	
GTEx	STRING-DB-Human	0	0
Reactome	STRING-DB-Human	0	1231
STRING-DB-Yeast	OHD-Carolina	0	0
LitCoinBagelService	PANTHER	59	301
PFOCR	Ubergraph	15083	21099
CTD	IntAct	0	0
UbergraphRedundant	YeastGSE61888	0	1
HGNC	MONDOProps	0	0
Reactome	CCIDB	204	73
GenomeAllianceOrthologs	SGD	3546	3480
textminingkp	GWASCatalog	363	1021
STRING-DB-Yeast	GenomeAllianceOrthologs	0	0
UbergraphNonredundant	YeastGSE61888	0	1
HGNC	STRING-DB	0	0
GenomeAllianceOrthologs	Hetio	0	18565
Costanza2016Data	GWASCatalog	0	0
LitCoinBagelService	PHAROS	18	604
MolePro	YeastHistoneMapping	17	83
STRING-DB-Yeast	HGNC	0	0
GenomeAllianceOrthologs	DrugCentral	0	0
Reactome	MetabolomicsWorkbench	0	404
LitCoinSapBERT_without_umls	Cord19	110	243
GenomeAllianceOrthologs	MonarchKG	69997	47715
LitCoinBagelService	LitCoinSapBERT_without_umls	113	133
MonarchKG	CHEBIProps	0	0
LINCS	GtoPdb	74	2007
LitCoin_without_umls_with_autocomplete	STRING-DB-Human	0	0
LitCoinBagelService	DrugMechDB	64	279
LINCS	KinAce	0	1184
MONDOProps	PFOCR	0	1283
CAM-KP	LINCS	0	6245
YeastHistoneMapping	LitCoin_without_umls	0	0
LitCoin_without_umls	STRING-DB	0	0
LitCoin_without_umls	OHD-Carolina	101	102
MonarchKG	STRING-DB-Human	0	0
PFOCR	SIGNOR	0	5783
LitCoin_without_umls_with_autocomplete	Cord19	139	357
CTD	PHAROS	773	11430
OHD-Carolina	Cord19	694	2696
SGD	CHEBIProps	0	0
UbergraphRedundant	PANTHER	7673	7567
Hetio	HumanGOA	12049	12020
BINDING-DB	HMDB	2233	3826
MonarchKG	Cord19	18268	18798
Ubergraph	Cord19	17187	38422
CAM-KP	textminingkp	8057	10413
SGD	GTEx	0	0
MolePro	LitCoin_without_umls	316	258
PHAROS	SIGNOR	0	5020
Costanza2016Data	SGD	5294	5290
LitCoin_without_umls_with_autocomplete	Ubergraph	889	1012
Reactome	GtoPdb	221	389
OntologicalHierarchy	LINCS	1415	3766
DrugCentral	GTEx	0	0
LitCoin_without_umls	GWASCatalog	52	85
CTD	SIGNOR	0	4199
old_Ubergraph	LitCoin	1392	
MONDOProps	Costanza2016Data	0	0
PFOCR	IntAct	0	0
STRING-DB-Yeast	CAM-KP	0	0
LitCoinBagelService	Ubergraph	913	832
STRING-DB-Yeast	STRING-DB	0	0
OntologicalHierarchy	LitCoin	1065	1178
LINCS	MonarchKG	4413	4400
SIGNOR	KinAce	2728	2726
MONDOProps	SGD	0	0
HGNC	GWASCatalog	0	0
GenomeAllianceOrthologs	STRING-DB	0	0
OntologicalHierarchy	HGNC	3717	0
STRING-DB-Yeast	GtoPdb	0	0
STRING-DB-Yeast	MONDOProps	0	0
OntologicalHierarchy	textminingkp	12197	29308
textminingkp	LINCS	0	1901
BINDING-DB	COHD	0	22
HGNC	Reactome	0	645
LitCoinSapBERT	PFOCR	135	347
PANTHER	PHAROS	13636	10227
PHAROS	SGD	0	0
Costanza2016Data	SIGNOR	0	0
textminingkp	Cord19	1799	3879
Biolink	SIGNOR	8	6089
HMDB	CCIDB	138	1
CTD	Hetio	351	11833
KinAce	Hetio	0	3085
PHAROS	HumanGOA	0	1
LitCoin_without_umls	Hetio	69	171
UbergraphNonredundant	STRING-DB-Human	0	9982
LitCoinSapBERT	GWASCatalog	54	149
MetabolomicsWorkbench	Hetio	0	1133
OntologicalHierarchy	PFOCR	0	1649
Costanza2016Data	DrugMechDB	0	0
YeastGaschDiamideGeneExpression	LitCoinSapBERT	0	2
PHAROS	DrugCentral	963	3743
Reactome	LitCoin_without_umls_with_autocomplete	31	40
DrugCentral	MetabolomicsWorkbench	0	105
UbergraphNonredundant	SIGNOR	67	6330
MonarchKG	KinAce	0	3074
LINCS	SIGNOR	66	2237
LitCoinSapBERT	HGNC	1	139
HMDB	Ubergraph	0	533
Biolink	LINCS	3602	4405
LitCoinSapBERT_without_umls	GtoPdb	1	34
STRING-DB-Yeast	MetabolomicsWorkbench	0	0
OntologicalHierarchy	Biolink	31059	17313
BINDING-DB	DrugCentral	2436	4257
UbergraphNonredundant	textminingkp	12180	14669
CAM-KP	LitCoinSapBERT_without_umls	165	237
MetabolomicsWorkbench	GtoPdb	1	338
Biolink	old_Ubergraph	48048	
BINDING-DB	Hetio	0	1023
Biolink	PANTHER	14851	19295
UbergraphRedundant	Costanza2016Data	1	0
DrugMechDB	SGD	160	160
LitCoin_without_umls_with_autocomplete	DrugCentral	4	148
HGNC	LitCoinBagelService	8	226
GTEx	LitCoin	0	351
GTEx	CHEBIProps	0	0
LitCoin_without_umls_with_autocomplete	HumanGOA	50	44
OntologicalHierarchy	MONDOProps	26261	26140
MolePro	UbergraphRedundant	186474	191083
Ubergraph	DrugMechDB	1510	2680
PANTHER	IntAct	0	0
LitCoinBagelService	CHEBIProps	154	142
textminingkp	SGD	0	0
LitCoinSapBERT	COHD	0	3
MonarchKG	Costanza2016Data	4653	4653
MONDOProps	STRING-DB	0	0
PFOCR	UbergraphRedundant	0	5731
HMDB	GtoPdb	0	779
COHD	HumanGOA	0	0
Biolink	CAM-KP	60958	58792
YeastHistoneMapping	COHD	0	0
BINDING-DB	UbergraphRedundant	0	16922
HMDB	old_Ubergraph	0	
HMDB	PANTHER	0	9
LINCS	LitCoinSapBERT_without_umls	0	23
OntologicalHierarchy	PHAROS	4343	14026
CCIDB	Hetio	0	327
YeastGaschDiamideGeneExpression	GenomeAllianceOrthologs	3484	3419
LitCoinSapBERT_without_umls	GTEx	0	56
CCIDB	Cord19	9	322
LitCoinSapBERT	CHEBIProps	3	94
CTD	YeastGSE61888	0	1
OntologicalHierarchy	OHD-Carolina	5287	5953
MonarchKG	MetabolomicsWorkbench	1055	1054
LitCoin_without_umls_with_autocomplete	COHD	0	0
DrugMechDB	SIGNOR	434	456
PANTHER	MonarchKG	18732	18719
OHD-Carolina	LitCoin	378	384
CCIDB	HumanGOA	328	2
OHD-Carolina	CHEBIProps	888	860
Ubergraph	MonarchKG	56945	63178
YeastGSE61888	KinAce	0	0
PANTHER	CHEBIProps	0	0
Costanza2016Data	GtoPdb	0	0
Ubergraph	LitCoin	1403	1333
LitCoin_without_umls	LitCoin_without_umls_with_autocomplete	730	730
HMDB	KinAce	1420	17
HMDB	CAM-KP	3236	5198
LitCoin_without_umls_with_autocomplete	SIGNOR	6	30
COHD	GWASCatalog	0	1
MolePro	GWASCatalog	476	1102
HMDB	MetabolomicsWorkbench	0	632
OntologicalHierarchy	MolePro	186474	186540
